"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
State or DC
GeoFips,GeoName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
36000,New York,31995,33641,35955,37176,36972,37420,39093,40645,43760,47020,47909,46936,48578,50772,52625,52874,54496,56608,58400,62206,64229,66460,70412,76360,77461,81932,85552
37000,North Carolina,25385,26158,27410,27782,27856,28709,30586,32209,34189,35960,37772,35921,35848,36822,38876,38074,39880,41632,42596,44219,46048,48374,51816,57233,59092,62233,65634
38000,North Dakota,23286,23683,25842,26493,27197,29663,29984,31731,33120,36501,40973,40186,44081,48873,56056,54337,56647,52972,51298,51830,55173,56657,60447,66158,71011,71545,71749
39000,Ohio,26388,27119,28496,29261,29669,30471,31588,32419,33976,35371,36654,35593,36580,38927,40279,40752,42277,43799,44574,46114,47821,49395,52850,57508,58236,61740,64464
40000,Oklahoma,22009,22390,24124,25557,25999,27184,29194,31699,34650,35493,39154,35835,37157,39694,41905,43607,45884,44279,42053,43873,46030,48177,49991,54581,57916,60853,63708
41000,Oregon,25915,26498,28257,28774,28759,29523,30980,32125,34488,35624,36856,35286,35941,37531,39128,39462,41654,44166,45467,47566,50209,52190,56659,62653,63669,67467,70823
42000,Pennsylvania,27309,28416,30339,31563,32084,33066,34860,36173,37803,40008,41467,40446,42097,44119,45637,45902,47467,49291,50572,51886,54468,56139,60279,64008,65078,68057,70678
44000,Rhode Island,27493,28432,30350,31795,32801,34256,35867,36746,38719,40608,41487,40588,42630,44095,45298,45104,46630,48049,48515,50414,52132,55123,59275,63108,64466,67769,70622
45000,South Carolina,22900,23687,25025,25644,26122,26792,27892,29136,30789,32190,33110,31973,32749,34406,35807,35923,37755,39598,40752,42385,43817,46150,48760,53390,54561,57766,60776
46000,South Dakota,24265,25251,26727,27563,27497,29883,31871,33534,34983,38330,40891,39435,41275,44532,44996,44988,46732,48308,48284,49408,51579,54408,59586,67174,69752,74155,75699
47000,Tennessee,25091,25756,26998,27496,28102,29059,30435,31410,32878,33963,34954,34427,35809,37696,39079,39099,40225,41937,42938,44407,46449,48903,51977,57715,59107,63479,66504
48000,Texas,25543,26452,28253,29601,29481,30176,31097,33136,35422,36879,39841,37234,38911,41941,43869,44403,46747,46767,45868,48524,51346,53271,54822,60400,63767,67503,69823
49000,Utah,22207,22995,24162,24867,25167,25749,26980,28751,31107,32924,33784,31796,32037,34015,35622,36102,37621,39881,41295,43030,45463,48163,51762,58328,60765,64544,67333
50000,Vermont,25747,27000,29002,30704,31194,32282,33955,34573,36609,38595,40774,40358,41491,43754,44858,45296,46894,48117,48827,50009,51691,54278,58156,61113,63777,67918,71287
51000,Virginia,28965,30574,32631,33940,34495,36151,38082,40027,42164,44020,45383,44091,45442,47563,49049,48195,49760,51617,52656,54377,56130,58362,61449,67223,69562,73890,77351
53000,Washington,29355,30786,32538,32986,33222,34267,36309,37202,39744,42524,44098,41679,42327,44279,47053,47448,50259,52408,54296,56800,59824,63431,67665,73949,76049,81087,85187
54000,West Virginia,20451,21017,22275,23731,24506,24804,25628,26836,28528,29544,31494,31653,32642,34490,35233,35093,36243,37068,37075,38841,41001,42615,44897,48903,50160,52963,55351
55000,Wisconsin,27018,27892,29493,30812,31406,32084,33319,34218,36047,37522,38857,38138,39048,41067,42639,42685,44156,45928,46595,48311,50520,52370,55499,60699,61831,64872,67755
56000,Wyoming,25704,27404,29426,31215,31810,33642,35921,38907,43805,45634,49451,44499,46395,50631,53597,52835,56251,56120,53419,56378,59197,61853,65093,71459,77768,83038,86477

Legend/Footnotes
6. Per capita personal income is total personal income divided by total midyear population.
"  Last updated: September 26, 2025."
